variable,description,
product_id,chocolate product ID,
brand,company brand,
company_location,location of the company,
review_date,the year the reivew was obtained,
country_of_bean_origin,country of the cocoa bean origin,
cocoa_percent,percentage of the cooca,
rating,subjective rating of the chocolate,
counts_of_ingredients,number of the ingredients in the chocolate,
cocoa_butter,whether contains cocoa butter,
vanilla,From low (1) to high (10),
organic,From low (1) to high (10),
salt,From low (1) to high (10),
sugar,From low (1) to high (10),
sweetener,From low (1) to high (10),
first_taste,description of the first taste, 
second_taste,description of the second taste,
third_taste,description of the third taste,
