caseid,country,purchaselabel,gender,gender_rev,agegroup,ruralurban,GDP,BMI,children,numchild,education_rev,trustngo
7000001,1,0,2,1,5,2,36724.7,25.1,0,0,4,1
7000002,1,0,1,0,6,1,36724.7,25.1,0,0,1,1
7000003,1,0,2,1,5,2,36724.7,25.1,0,0,1,1
7000004,1,0,2,1,5,2,36724.7,25.1,0,0,9,0
7000005,1,0,1,0,6,2,36724.7,25.1,0,0,1,0
7000006,1,0,1,0,1,2,36724.7,25.1,1,1,10,0
7000007,1,0,2,1,3,3,36724.7,25.1,0,0,3,0
7000008,1,0,1,0,1,3,36724.7,25.1,0,0,10,0
7000009,1,0,1,0,5,2,36724.7,25.1,0,0,1,0
7000010,1,0,1,0,2,1,36724.7,25.1,0,0,8,1
7000011,1,1,2,1,2,1,36724.7,25.1,1,1,9,1
7000012,1,1,1,0,6,1,36724.7,25.1,0,0,1,0
7000013,1,0,2,1,5,2,36724.7,25.1,0,0,6,0
7000014,1,0,2,1,2,2,36724.7,25.1,0,0,8,1
7000015,1,1,1,0,3,2,36724.7,25.1,1,2,9,1
7000016,1,0,2,1,4,2,36724.7,25.1,0,0,7,0
7000017,1,0,2,1,5,1,36724.7,25.1,0,0,3,0
7000018,1,0,2,1,6,2,36724.7,25.1,0,0,1,0
7000019,1,0,2,1,2,1,36724.7,25.1,0,0,7,0
7000020,1,0,2,1,4,1,36724.7,25.1,0,0,5,0
7000021,1,0,2,1,2,2,36724.7,25.1,0,0,9,0
7000022,1,0,2,1,6,2,36724.7,25.1,0,0,1,0
7000023,1,0,2,1,6,2,36724.7,25.1,0,0,1,0
7000024,1,0,1,0,2,1,36724.7,25.1,0,0,5,0
7000025,1,1,2,1,4,1,36724.7,25.1,1,1,9,1
7000026,1,0,1,0,3,2,36724.7,25.1,1,2,4,0
7000027,1,0,2,1,1,2,36724.7,25.1,0,0,7,1
7000028,1,0,1,0,2,2,36724.7,25.1,0,0,9,0
7000029,1,0,2,1,2,2,36724.7,25.1,0,0,9,1
7000030,1,0,1,0,5,2,36724.7,25.1,0,0,5,0
7000031,1,0,1,0,5,2,36724.7,25.1,0,0,1,0
7000032,1,0,1,0,2,2,36724.7,25.1,1,2,6,0
7000033,1,0,1,0,6,1,36724.7,25.1,0,0,1,0
7000034,1,0,1,0,2,2,36724.7,25.1,1,1,5,1
7000035,1,0,2,1,4,2,36724.7,25.1,0,0,5,0
7000036,1,0,2,1,2,2,36724.7,25.1,1,2,7,1
7000037,1,1,2,1,4,2,36724.7,25.1,0,0,6,1
7000038,1,0,1,0,6,2,36724.7,25.1,0,0,1,0
7000039,1,1,2,1,5,2,36724.7,25.1,0,0,5,0
7000040,1,0,1,0,5,2,36724.7,25.1,0,0,5,0
7000041,1,0,2,1,6,2,36724.7,25.1,0,0,9,0
7000042,1,0,1,0,2,2,36724.7,25.1,1,1,9,0
7000044,1,0,2,1,3,2,36724.7,25.1,1,2,5,0
7000045,1,1,1,0,1,1,36724.7,25.1,0,0,9,0
7000046,1,1,1,0,2,2,36724.7,25.1,1,2,5,1
7000047,1,0,1,0,1,1,36724.7,25.1,1,2,10,0
7000049,1,0,2,1,4,3,36724.7,25.1,0,0,6,0
7000050,1,0,2,1,2,2,36724.7,25.1,1,2,7,1
7000051,1,0,2,1,6,1,36724.7,25.1,0,0,4,1
7000052,1,0,1,0,4,1,36724.7,25.1,0,0,9,0
7000053,1,0,2,1,2,1,36724.7,25.1,1,2,9,0
7000054,1,0,2,1,4,2,36724.7,25.1,0,0,4,0
7000055,1,1,2,1,5,1,36724.7,25.1,0,0,8,0
7000056,1,0,1,0,6,1,36724.7,25.1,0,0,6,0
7000057,1,0,1,0,6,1,36724.7,25.1,0,0,4,1
7000058,1,0,2,1,6,2,36724.7,25.1,0,0,2,1
7000059,1,0,2,1,2,1,36724.7,25.1,1,1,4,0
7000060,1,1,2,1,6,1,36724.7,25.1,0,0,5,0
7000061,1,0,2,1,2,1,36724.7,25.1,0,0,9,0
7000062,1,0,2,1,5,1,36724.7,25.1,0,0,8,0
7000063,1,0,2,1,6,3,36724.7,25.1,0,0,7,0
7000064,1,0,1,0,4,1,36724.7,25.1,1,2,9,1
7000065,1,1,1,0,3,3,36724.7,25.1,0,0,8,0
7000066,1,0,1,0,6,1,36724.7,25.1,0,0,5,0
7000067,1,0,2,1,1,3,36724.7,25.1,0,0,10,0
7000068,1,0,2,1,3,3,36724.7,25.1,1,2,9,1
7000069,1,0,2,1,4,3,36724.7,25.1,0,0,9,0
7000070,1,0,1,0,3,2,36724.7,25.1,0,0,5,0
7000071,1,0,1,0,5,1,36724.7,25.1,1,1,7,0
7000072,1,0,1,0,4,1,36724.7,25.1,0,0,4,0
7000073,1,0,2,1,2,2,36724.7,25.1,1,2,9,0
7000074,1,0,2,1,5,1,36724.7,25.1,0,0,6,0
7000075,1,0,1,0,2,1,36724.7,25.1,1,1,6,0
7000076,1,0,1,0,1,3,36724.7,25.1,0,0,9,1
7000079,1,0,2,1,2,1,36724.7,25.1,1,2,8,0
7000080,1,1,2,1,2,1,36724.7,25.1,1,4,7,0
7000081,1,0,1,0,1,1,36724.7,25.1,0,0,10,0
7000082,1,0,1,0,2,1,36724.7,25.1,0,0,7,0
7000083,1,0,2,1,1,2,36724.7,25.1,0,0,7,0
7000084,1,0,2,1,2,1,36724.7,25.1,0,0,9,0
7000085,1,0,1,0,2,1,36724.7,25.1,0,0,5,0
