consumer_id,purchase_date,quantity,total_amount
1,20190101,1,11.77
2,20190112,1,12
2,20190112,5,77
3,20190102,2,20.76
3,20190330,2,20.76
3,20190402,2,19.54
3,20191115,5,57.45
3,20191125,4,20.96
3,20200528,1,16.99
4,20190101,2,29.33
4,20190118,2,29.73
4,20190802,1,14.96
4,20191212,2,26.48
5,20190101,2,29.33
5,20190114,1,13.97
5,20190204,3,38.9
5,20190411,3,45.55
5,20190531,3,38.71
5,20190616,2,26.14
5,20190722,2,28.14
5,20190915,3,40.47
5,20191208,4,46.46
5,20191212,3,40.47
5,20200103,3,37.47
6,20190101,1,20.99
7,20190101,2,28.74
7,20191011,7,97.43
7,20200322,9,138.5
8,20190101,1,9.77
8,20190213,1,13.97
8,20190617,3,45.29
8,20190703,2,36.76
8,20191116,1,2.99
8,20191116,7,50.43
8,20191225,1,13.99
8,20200329,2,24.46
9,20190101,2,23.54
9,20190513,2,30.33
9,20200608,2,41.98
10,20190121,3,39.31
11,20190101,1,13.49
11,20190128,1,19.3
11,20190317,1,12.77
11,20200220,1,12.99
12,20190101,4,57.06
13,20190101,4,72.94
14,20190101,2,29.92
15,20190101,4,52.87
16,20190101,1,9.77
16,20190713,2,31.6
16,20190726,4,28.51
16,20190910,1,9.99
17,20190101,5,73.22
18,20190104,1,14.96
19,20190101,10,163.35
19,20190610,1,11.77
20,20190101,27,363.6
20,20190118,19,289.41
21,20190101,3,63.34
21,20190113,1,11.77
22,20190101,1,14.37
23,20190101,2,24.74
24,20190101,3,47.28
24,20200120,1,10.49
25,20190101,2,24.96
25,20190718,1,13.9
25,20190817,1,12.25
25,20191024,1,12.99
25,20200417,1,12.99
25,20200525,1,10.49
25,20200603,3,24.97
25,20200608,2,24.98
26,20190101,3,42.72
26,20190126,3,59.97
27,20190107,6,83.41
27,20190112,4,52.46
28,20190101,3,39.51
28,20190127,2,25.74
28,20190308,2,25.74
29,20190101,3,46.72
29,20190206,3,67.31
29,20190309,3,41.1
29,20190405,3,44.52
29,20190420,1,13.97
29,20190504,2,26.14
29,20190530,1,32.45
29,20190713,2,37.65
29,20190713,2,26.74
29,20190906,1,14.79
29,20191102,3,35.97
29,20200426,4,48.45
30,20190101,1,14.37
30,20190214,1,13.97
31,20190101,4,59.06
31,20200407,4,42.89
31,20200409,3,38.06
31,20200525,3,37.04
32,20190101,3,49.97
32,20190124,1,16.36
32,20200311,1,11.88
33,20190101,3,41.69
33,20190121,2,29.92
33,20190216,5,73.42
33,20190502,2,40.74
33,20190514,3,54.25
33,20190601,1,14.96
33,20190604,2,30.13
33,20190829,2,35.69
33,20190906,1,11.77
33,20191002,3,45.47
33,20191003,2,34.98
33,20191005,3,54.97
33,20191013,5,69.45
33,20191019,3,48.97
33,20191031,4,54.46
33,20191106,5,66.45
33,20191109,3,67.47
33,20191110,1,13.99
33,20191118,1,14.49
33,20191123,4,55.96
33,20191125,3,36.97
33,20200113,3,36.97
33,20200227,3,34.47
33,20200305,4,35.35
33,20200313,2,42.48
34,20190101,2,23.14
35,20190101,2,26.73
35,20190927,1,15.49
36,20190101,3,37.91
36,20190203,1,11.77
37,20190129,2,31.26
37,20190306,2,29.13
37,20190628,1,13.97
37,20190816,1,14.37
37,20191102,3,39.47
37,20200513,2,27.48
38,20190101,1,12.49
39,20190101,3,33.33
39,20190313,4,50.68
39,20190514,2,28.93
39,20200305,4,49.55
39,20200311,2,58.96
40,20190101,2,28.34
40,20190308,1,13.97
40,20190503,1,15.96
40,20190830,1,14.96
40,20190914,3,44.47
40,20190914,1,13.99
40,20190914,1,22.99
40,20191025,2,25.98
40,20191213,1,16.99
40,20191214,4,54.96
40,20200215,1,12.58
40,20200215,1,2.99
40,20200225,3,36.34
40,20200308,1,14.42
41,20190101,1,17.99
42,20190101,3,26.55
42,20190102,1,11.77
43,20190101,2,29.33
43,20190216,2,25.74
43,20190301,1,10.77
43,20191128,1,36.99
43,20200524,1,14.49
44,20190101,2,30.32
44,20190104,1,14.37
44,20190619,1,14.96
45,20190101,1,14.37
46,20190101,3,41.53
46,20190125,4,60.11
46,20190316,3,45.09
46,20190809,4,58.07
46,20190824,4,57.11
46,20191002,2,26.98
46,20191112,2,26.98
47,20190101,3,37.91
47,20190105,2,25.74
47,20190126,3,44.97
47,20190216,1,15.37
47,20190223,2,30.92
47,20190309,1,17.96
47,20190309,1,4.79
47,20190316,2,27.94
47,20190406,1,13.97
47,20190407,1,14.79
47,20190419,1,19.97
47,20190423,1,41.77
47,20190615,1,19.99
47,20190622,1,4.79
47,20190809,1,9.99
47,20191101,1,19.49
47,20200225,1,12.99
47,20200318,1,14.49
47,20200322,2,22.98
47,20200414,1,13.99
47,20200606,1,12.99
48,20190101,4,52.72
48,20190126,4,73.5
48,20190210,3,37.93
48,20190323,1,12.49
48,20190325,4,46.5
48,20190609,2,29.92
48,20190730,3,42.85
48,20190815,1,15.36
48,20190824,1,24.37
48,20191014,1,25.49
48,20191017,2,25.98
48,20191020,1,20.99
48,20191103,2,41.98
48,20191111,3,42.47
48,20191124,2,16.98
48,20191204,1,9.49
48,20200109,3,40.47
48,20200322,3,51.47
48,20200608,1,9.49
48,20200613,2,29.48
49,20190101,2,27.94
50,20190101,1,6.79
51,20190127,5,71.42
51,20190707,8,111.93
51,20190901,7,104.6
51,20191129,5,53.95
51,20191129,1,13.99
51,20191201,1,11.49
52,20190102,3,80.95
52,20190106,2,23.14
52,20190119,2,33.98
52,20190122,2,27.74
52,20190129,3,38.33
52,20190518,4,59.84
52,20190621,7,104.72
52,20200508,2,76.98
53,20190101,1,19.99
53,20190819,1,14.37
53,20191210,1,11.49
53,20200127,1,11.88
53,20200209,1,14.49
53,20200504,1,13.99
54,20190101,2,33.96
55,20190101,5,66.09
55,20190110,1,15.36
56,20190101,2,27.73
56,20190117,1,15.96
56,20190601,2,21.54
56,20191217,4,63.96
57,20190101,4,57.86
58,20190101,1,20.99
59,20190101,1,13.99
59,20190109,1,11.77
59,20190125,1,10.77
60,20190201,2,21.75
