Consumer_id,Block,Choice_id,Alternative,Choice,Origin,Manufacture,Energy,Nuts,Tokens,Organic,Premium,Fairtrade,Sugar,Price,Age_Group,Gender,Salary,Education,Employment,Location_by_region,Choco_Consumption,Sustainability_Score
1,1,1,1,1,Venezuela,Developed,Low,Nuts only,No,No,Yes,Yes,High,3,1,2,1,2,1,1,2,-0.6645
1,1,1,2,0,Venezuela,UnderDeveloped,Low,Nuts only,Keep & Use,No,No,Yes,Low,5,1,2,1,2,1,1,2,-0.6645
1,1,1,3,0,Peru,Developing,High,No,Donate,Yes,No,No,High,7,1,2,1,2,1,1,2,-0.6645
1,1,2,1,0,Ecuador,UnderDeveloped,Low,Nuts and Fruit,Donate,Yes,No,No,High,3,1,2,1,2,1,1,2,-0.6645
1,1,2,2,0,Venezuela,Developed,Low,No,No,No,Yes,Yes,Low,3,1,2,1,2,1,1,2,-0.6645
1,1,2,3,1,Venezuela,Developing,High,Nuts and Fruit,Keep & Use,No,Yes,Yes,High,7,1,2,1,2,1,1,2,-0.6645
1,1,3,1,0,Ecuador,Developed,Low,Nuts only,No,Yes,Yes,Yes,High,7,1,2,1,2,1,1,2,-0.6645
1,1,3,2,0,Peru,Developing,High,No,Keep & Use,Yes,No,No,Low,4,1,2,1,2,1,1,2,-0.6645
1,1,3,3,1,Venezuela,UnderDeveloped,Low,Nuts and Fruit,Keep & Use,No,Yes,Yes,Low,3,1,2,1,2,1,1,2,-0.6645
1,1,4,1,0,Ecuador,Developing,High,Nuts only,Donate,Yes,No,Yes,Low,5,1,2,1,2,1,1,2,-0.6645
1,1,4,2,1,Venezuela,UnderDeveloped,Low,Nuts and Fruit,No,No,Yes,No,Low,3,1,2,1,2,1,1,2,-0.6645
1,1,4,3,0,Peru,Developed,Low,No,Keep & Use,Yes,No,Yes,High,5,1,2,1,2,1,1,2,-0.6645
1,1,5,1,0,Peru,UnderDeveloped,Low,No,No,No,Yes,Yes,Low,2,1,2,1,2,1,1,2,-0.6645
1,1,5,2,1,Ecuador,Developing,High,Nuts only,Keep & Use,Yes,Yes,No,High,2.76,1,2,1,2,1,1,2,-0.6645
1,1,5,3,0,Ecuador,Developing,High,No,No,Yes,No,Yes,Low,4.95,1,2,1,2,1,1,2,-0.6645
2,3,6,1,0,Ecuador,Developing,High,Nuts only,No,No,Yes,No,High,5,1,1,3,2,1,1,2,-0.92765
2,3,6,2,1,Venezuela,UnderDeveloped,Low,No,Donate,Yes,No,No,High,4,1,1,3,2,1,1,2,-0.92765
2,3,6,3,0,Venezuela,Developed,Low,Nuts and Fruit,Keep & Use,No,No,Yes,Low,4,1,1,3,2,1,1,2,-0.92765
2,3,7,1,1,Ecuador,UnderDeveloped,High,No,No,Yes,Yes,Yes,High,3,1,1,3,2,1,1,2,-0.92765
2,3,7,2,0,Peru,Developed,Low,Nuts only,Keep & Use,No,No,No,High,4,1,1,3,2,1,1,2,-0.92765
2,3,7,3,0,Venezuela,Developing,Low,Nuts and Fruit,Donate,Yes,Yes,Yes,Low,7,1,1,3,2,1,1,2,-0.92765
2,3,8,1,0,Venezuela,Developing,High,Nuts and Fruit,Donate,No,No,No,High,3,1,1,3,2,1,1,2,-0.92765
2,3,8,2,1,Peru,Developed,Low,No,No,No,Yes,No,Low,7,1,1,3,2,1,1,2,-0.92765
2,3,8,3,0,Ecuador,UnderDeveloped,Low,Nuts only,Keep & Use,Yes,No,Yes,High,5,1,1,3,2,1,1,2,-0.92765
2,3,9,1,0,Venezuela,Developed,Low,Nuts only,Keep & Use,No,No,No,Low,4,1,1,3,2,1,1,2,-0.92765
2,3,9,2,1,Ecuador,UnderDeveloped,Low,Nuts and Fruit,Donate,Yes,Yes,Yes,Low,7,1,1,3,2,1,1,2,-0.92765
2,3,9,3,0,Venezuela,Developing,High,No,Keep & Use,No,Yes,No,High,4,1,1,3,2,1,1,2,-0.92765
2,3,10,1,1,Peru,UnderDeveloped,Low,No,No,No,Yes,Yes,Low,2,1,1,3,2,1,1,2,-0.92765
2,3,10,2,0,Ecuador,Developing,High,Nuts only,Keep & Use,Yes,Yes,No,High,2.76,1,1,3,2,1,1,2,-0.92765
2,3,10,3,0,Ecuador,Developing,High,No,No,Yes,No,Yes,Low,4.95,1,1,3,2,1,1,2,-0.92765
3,5,11,1,0,Venezuela,Developed,Low,Nuts and Fruit,Keep & Use,Yes,No,Yes,Low,4,2,1,4,2,1,1,2,-0.4435
3,5,11,2,1,Peru,Developing,High,No,No,Yes,Yes,No,High,3,2,1,4,2,1,1,2,-0.4435
3,5,11,3,0,Venezuela,Developing,High,No,Donate,No,Yes,No,Low,7,2,1,4,2,1,1,2,-0.4435
3,5,12,1,1,Venezuela,UnderDeveloped,Low,No,Keep & Use,No,Yes,Yes,High,5,2,1,4,2,1,1,2,-0.4435
3,5,12,2,0,Venezuela,Developed,Low,Nuts and Fruit,No,Yes,No,Yes,Low,7,2,1,4,2,1,1,2,-0.4435
3,5,12,3,0,Peru,UnderDeveloped,Low,Nuts only,No,Yes,Yes,No,High,3,2,1,4,2,1,1,2,-0.4435
3,5,13,1,0,Peru,UnderDeveloped,Low,Nuts only,Keep & Use,No,No,No,Low,4,2,1,4,2,1,1,2,-0.4435
3,5,13,2,0,Venezuela,Developing,High,Nuts and Fruit,Donate,No,No,Yes,High,4,2,1,4,2,1,1,2,-0.4435
3,5,13,3,1,Venezuela,Developed,Low,Nuts and Fruit,No,Yes,Yes,No,Low,7,2,1,4,2,1,1,2,-0.4435
3,5,14,1,0,Venezuela,Developed,Low,Nuts and Fruit,No,Yes,No,Yes,Low,4,2,1,4,2,1,1,2,-0.4435
3,5,14,2,1,Ecuador,Developing,High,No,Keep & Use,No,Yes,No,Low,5,2,1,4,2,1,1,2,-0.4435
