visit_date,condition,time_spent_homepage_sec,clicked_article,clicked_like,clicked_share
31/03/2020,taste,49.01160898,1,0,1
31/03/2020,taste,48.86451536,1,0,0
31/03/2020,taste,49.07466688,1,0,0
31/03/2020,taste,49.26010875,0,1,0
31/03/2020,taste,50.37189779,0,1,0
31/03/2020,taste,49.08457948,1,0,0
31/03/2020,taste,50.47326326,1,0,0
31/03/2020,taste,50.4510814,1,0,0
31/03/2020,taste,49.91106051,1,0,0
31/03/2020,taste,49.8963902,0,0,0
31/03/2020,taste,51.08966805,0,0,0
31/03/2020,taste,48.90248935,1,0,0
31/03/2020,taste,48.48730867,0,0,0
31/03/2020,taste,49.43072679,1,1,0
31/03/2020,taste,49.33098001,1,1,0
31/03/2020,taste,49.37079101,1,0,0
31/03/2020,taste,52.07595896,1,0,0
31/03/2020,taste,47.88585304,0,0,0
31/03/2020,taste,47.98470676,0,0,0
31/03/2020,taste,50.72990586,1,0,0
31/03/2020,taste,49.47639899,1,0,0
31/03/2020,taste,49.70148703,1,0,0
31/03/2020,taste,50.76077008,0,1,0
31/03/2020,taste,50.11233872,0,0,0
31/03/2020,taste,50.81461073,1,0,0
31/03/2020,taste,50.59239668,1,0,0
31/03/2020,taste,50.52619899,1,0,0
31/03/2020,taste,51.15566063,1,1,0
31/03/2020,taste,51.24035591,0,0,0
31/03/2020,taste,49.3401876,0,0,0
31/03/2020,taste,50.68632651,1,0,0
31/03/2020,taste,50.27952207,1,0,0
31/03/2020,taste,52.07298809,0,0,0
31/03/2020,taste,50.69942041,1,0,0
31/03/2020,taste,49.34807292,1,1,0
31/03/2020,taste,50.2568543,0,0,0
31/03/2020,taste,50.28283171,1,0,0
31/03/2020,taste,50.71285178,1,0,0
31/03/2020,taste,49.7039329,1,0,0
31/03/2020,taste,50.51419443,0,0,0
31/03/2020,taste,50.5524453,0,0,0
31/03/2020,taste,51.07366116,1,1,0
31/03/2020,taste,50.17048593,1,0,0
31/03/2020,taste,50.33748156,1,0,0
31/03/2020,taste,50.59172967,0,0,0
31/03/2020,taste,50.80513002,1,1,0
31/03/2020,taste,48.68162757,1,1,0
31/03/2020,taste,49.68535733,1,0,0
31/03/2020,taste,49.4281726,1,1,0
31/03/2020,taste,50.22259846,1,0,0
31/03/2020,taste,49.66792697,0,0,0
31/03/2020,taste,49.46235961,0,0,0
31/03/2020,taste,48.28401495,1,0,0
31/03/2020,taste,50.62985537,1,0,0
31/03/2020,taste,50.16109014,0,0,0
31/03/2020,taste,50.49018816,0,0,0
31/03/2020,taste,50.47706181,1,1,0
31/03/2020,taste,48.30950358,0,0,0
31/03/2020,taste,49.11692751,0,0,0
31/03/2020,taste,51.81187291,0,0,0
31/03/2020,taste,52.77053027,1,0,0
31/03/2020,taste,51.31936758,0,0,0
31/03/2020,taste,48.77592637,0,0,0
31/03/2020,taste,49.09504951,1,1,0
31/03/2020,taste,49.65130838,1,0,0
31/03/2020,taste,48.52732498,1,0,0
31/03/2020,taste,50.65997988,0,0,0
31/03/2020,taste,49.56821832,0,0,0
31/03/2020,taste,48.39109666,1,0,0
31/03/2020,taste,48.27293342,1,0,0
31/03/2020,taste,47.78331663,1,0,0
31/03/2020,taste,48.38343193,1,0,0
31/03/2020,taste,51.39617592,0,0,0
31/03/2020,taste,49.60659246,1,0,0
31/03/2020,taste,50.78655038,0,0,1
31/03/2020,taste,51.48013787,1,0,0
31/03/2020,taste,50.01544338,1,0,0
31/03/2020,taste,49.16592252,1,1,0
31/03/2020,taste,50.40914028,1,1,0
31/03/2020,taste,51.72353228,1,0,0
31/03/2020,taste,49.48590515,1,0,0
31/03/2020,taste,51.3396372,1,0,0
31/03/2020,taste,50.67142949,0,0,0
31/03/2020,taste,51.25930125,1,0,0
31/03/2020,taste,48.80229052,1,0,0
31/03/2020,taste,50.91307376,0,0,0
31/03/2020,taste,51.40965176,1,0,0
31/03/2020,taste,51.0543489,1,0,0
31/03/2020,taste,51.59762487,0,0,0
31/03/2020,taste,49.03067831,1,0,0
31/03/2020,taste,47.98281316,1,0,0
31/03/2020,taste,48.7648327,1,0,0
31/03/2020,taste,50.52946857,1,1,0
31/03/2020,taste,51.11631266,0,0,0
31/03/2020,taste,51.48863058,1,1,1
31/03/2020,taste,51.28461311,1,0,0
31/03/2020,taste,50.36150398,0,0,0
31/03/2020,taste,47.99117505,1,0,0
31/03/2020,taste,50.65637113,1,0,0
31/03/2020,taste,50.44776551,0,0,0
31/03/2020,taste,50.09120301,1,1,0
31/03/2020,taste,50.47962303,1,0,0
31/03/2020,taste,51.17498136,1,0,0
31/03/2020,taste,50.31162213,1,0,0
31/03/2020,taste,50.55118292,1,0,0
31/03/2020,taste,50.09856758,1,0,0
31/03/2020,taste,52.36112379,0,1,0
31/03/2020,taste,50.64565779,1,0,0
31/03/2020,taste,50.03120898,1,0,0
31/03/2020,taste,48.60916441,1,0,0
31/03/2020,taste,50.56187908,1,0,0
31/03/2020,taste,51.06330709,0,1,0
31/03/2020,taste,49.96981869,1,0,0
31/03/2020,taste,49.93589086,0,0,0
31/03/2020,taste,51.13573744,1,0,0
31/03/2020,taste,48.0355365,0,0,0
31/03/2020,taste,49.14455555,1,0,0
31/03/2020,taste,49.14363867,0,0,0
31/03/2020,taste,49.10754598,0,1,0
31/03/2020,taste,50.24890649,0,0,0
31/03/2020,taste,49.38958765,1,0,0
31/03/2020,taste,48.52338176,1,1,0
31/03/2020,taste,51.24601553,0,0,0
31/03/2020,taste,50.82472324,0,0,0
31/03/2020,taste,49.57913862,1,0,0
31/03/2020,taste,50.75673958,1,0,0
31/03/2020,taste,50.03504005,0,0,0
31/03/2020,taste,47.66388405,1,0,0
31/03/2020,taste,47.71031997,1,0,0
31/03/2020,taste,49.64839875,1,0,0
31/03/2020,taste,50.33904583,1,0,0
31/03/2020,taste,48.36454998,1,0,0
31/03/2020,taste,49.82109679,0,0,0
31/03/2020,taste,50.3565027,0,1,0
31/03/2020,taste,49.83415342,0,0,0
31/03/2020,taste,49.03324682,1,0,0
31/03/2020,taste,50.11922432,0,0,1
31/03/2020,taste,51.68502089,1,0,0
31/03/2020,taste,49.42750266,1,0,0
31/03/2020,taste,49.36822219,1,0,0
31/03/2020,taste,48.84753205,0,0,0
31/03/2020,taste,50.97233103,1,0,0
31/03/2020,taste,51.13544892,0,0,0
31/03/2020,taste,51.9986722,0,1,1
31/03/2020,taste,49.67655267,1,0,0
31/03/2020,taste,50.9687945,0,1,0
31/03/2020,taste,49.36966538,0,0,0
31/03/2020,taste,47.0026028,1,1,0
31/03/2020,taste,50.26799279,1,0,0
31/03/2020,taste,50.14007167,1,0,0
31/03/2020,taste,50.15074803,0,0,0
31/03/2020,taste,49.84531669,1,0,0
31/03/2020,taste,50.95776241,1,0,0
31/03/2020,taste,50.26081202,1,0,0
31/03/2020,taste,50.95245753,1,0,0
31/03/2020,taste,48.95113221,1,0,0
31/03/2020,taste,50.22704508,1,0,0
31/03/2020,taste,50.26897072,1,0,0
31/03/2020,taste,51.65643715,0,0,0
31/03/2020,taste,50.67659126,0,0,0
31/03/2020,taste,50.93420064,1,0,0
31/03/2020,taste,49.8120456,1,0,0
31/03/2020,taste,49.75151523,1,0,0
31/03/2020,taste,50.02311326,0,1,0
31/03/2020,taste,48.07314555,1,0,0
31/03/2020,taste,50.74675035,0,0,0
31/03/2020,taste,51.43496805,1,0,0
31/03/2020,taste,50.88990974,1,0,0
31/03/2020,taste,49.74611755,1,1,0
31/03/2020,taste,48.09789819,0,0,0
31/03/2020,taste,49.15216869,1,0,0
31/03/2020,taste,51.13700758,1,0,0
31/03/2020,taste,50.37928313,0,0,0
31/03/2020,taste,49.93749406,1,0,0
31/03/2020,taste,48.52603347,1,0,0
31/03/2020,taste,50.49891658,0,1,0
31/03/2020,taste,51.36524985,1,1,0
31/03/2020,taste,51.05664316,1,0,0
31/03/2020,taste,50.62318733,0,0,0
31/03/2020,taste,49.30235884,1,0,0
31/03/2020,taste,48.60500522,1,0,0
31/03/2020,taste,49.72070321,0,0,0
31/03/2020,taste,50.63235258,0,0,0
31/03/2020,taste,51.1792738,1,0,0
31/03/2020,taste,47.29625763,0,0,0
31/03/2020,taste,50.1469846,1,0,0
31/03/2020,taste,50.95815258,0,0,0
31/03/2020,taste,51.84916849,1,0,0
31/03/2020,taste,51.42280836,1,1,0
31/03/2020,taste,50.11586914,1,0,0
31/03/2020,taste,48.86420671,0,0,0
31/03/2020,taste,50.04299221,1,1,0
31/03/2020,taste,50.60910922,0,0,0
31/03/2020,taste,50.3748168,1,0,0
31/03/2020,taste,50.12122952,1,0,0
31/03/2020,taste,48.00996967,1,0,0
31/03/2020,taste,52.30644587,0,0,0
31/03/2020,taste,50.05163405,0,0,1
31/03/2020,taste,49.37860289,0,0,0
31/03/2020,taste,49.00225835,0,0,0
31/03/2020,taste,49.65387623,0,0,0
31/03/2020,taste,49.80410703,0,0,0
31/03/2020,taste,49.17297197,1,0,0
31/03/2020,taste,49.76593061,1,1,0
31/03/2020,taste,50.81979462,1,0,1
31/03/2020,taste,50.66435978,1,1,0
31/03/2020,taste,48.2862591,0,0,0
31/03/2020,taste,48.68002415,1,0,0
31/03/2020,taste,51.34002371,1,0,0
31/03/2020,taste,51.11991773,0,0,0
31/03/2020,taste,48.68924288,1,0,0
31/03/2020,taste,49.38323314,0,0,0
31/03/2020,taste,50.12205851,1,0,0
31/03/2020,taste,50.10920322,1,1,0
31/03/2020,taste,50.36626811,1,0,0
31/03/2020,taste,51.16370891,0,0,0
31/03/2020,taste,50.91141819,1,1,0
31/03/2020,taste,50.01907524,1,0,0
31/03/2020,taste,51.12737242,0,0,0
31/03/2020,taste,51.35205435,1,0,0
31/03/2020,taste,49.74605028,0,1,0
31/03/2020,taste,48.84639603,1,1,0
31/03/2020,taste,50.32007885,1,0,0
31/03/2020,taste,49.47350518,0,0,0
31/03/2020,taste,48.81918568,0,1,0
31/03/2020,taste,49.76336746,1,0,0
31/03/2020,taste,50.04507419,1,0,0
31/03/2020,taste,50.34927591,0,0,0
31/03/2020,taste,50.28897169,1,0,0
31/03/2020,taste,50.06846767,0,0,0
31/03/2020,taste,49.69360305,0,0,0
31/03/2020,taste,48.79709325,0,0,0
31/03/2020,taste,48.31403901,1,1,0
31/03/2020,taste,49.18316176,0,0,0
31/03/2020,taste,48.75977601,0,0,0
31/03/2020,taste,50.01904175,1,0,0
31/03/2020,taste,48.90223067,1,0,0
31/03/2020,taste,48.94113502,1,0,0
31/03/2020,taste,48.53348862,1,1,0
31/03/2020,taste,50.93237695,0,0,0
31/03/2020,taste,49.76919002,1,0,0
31/03/2020,taste,51.20862906,0,0,0
31/03/2020,taste,49.42022946,1,0,0
31/03/2020,taste,50.52758909,1,0,0
31/03/2020,taste,51.19781246,0,0,0
31/03/2020,taste,52.61163353,1,0,0
31/03/2020,taste,49.86530449,0,0,0
31/03/2020,taste,49.86735751,1,0,0
31/03/2020,taste,49.30034637,1,0,0
31/03/2020,taste,48.72542566,1,0,0
31/03/2020,taste,49.74545991,0,0,0
31/03/2020,taste,48.6246651,1,0,0
31/03/2020,taste,49.91549746,1,0,0
31/03/2020,taste,49.39932418,0,0,0
31/03/2020,taste,50.04755749,1,0,0
31/03/2020,taste,49.73851684,0,0,0
31/03/2020,taste,49.27435509,1,0,0
31/03/2020,taste,50.87612011,0,0,0
31/03/2020,taste,49.05486671,1,0,0
31/03/2020,taste,50.20113973,1,0,0
31/03/2020,taste,49.16040322,0,1,0
31/03/2020,taste,49.01344619,1,0,0
31/03/2020,taste,48.56121067,1,0,0
31/03/2020,taste,50.27796129,0,0,0
31/03/2020,taste,49.9694383,1,0,0
31/03/2020,taste,50.71524436,1,0,0
31/03/2020,taste,49.19486418,0,0,0
31/03/2020,taste,49.65654459,1,0,0
31/03/2020,taste,50.85429502,0,0,0
31/03/2020,taste,50.16463197,1,0,0
31/03/2020,taste,51.8025006,1,0,0
31/03/2020,taste,49.22982353,1,1,0
31/03/2020,taste,50.81596391,1,0,0
31/03/2020,taste,49.38790677,1,0,0
31/03/2020,taste,48.92268581,1,0,0
31/03/2020,taste,49.27696927,1,0,0
31/03/2020,taste,50.85783525,0,0,0
31/03/2020,taste,48.72490515,1,0,0
31/03/2020,taste,49.39189611,0,0,0
31/03/2020,taste,48.34822385,1,0,0
31/03/2020,taste,48.40470318,1,0,0
31/03/2020,taste,49.43501681,1,0,0
31/03/2020,taste,48.93153033,0,1,0
31/03/2020,taste,50.36395341,1,0,0
31/03/2020,taste,49.35673574,0,1,0
31/03/2020,taste,50.69829114,1,0,0
31/03/2020,taste,48.46178079,1,0,0
31/03/2020,taste,51.41098829,1,1,0
31/03/2020,taste,51.15437196,0,0,1
31/03/2020,taste,50.4191131,1,0,0
31/03/2020,taste,50.77569335,0,0,0
31/03/2020,taste,49.40036188,0,0,0
31/03/2020,taste,48.34102457,0,0,0
31/03/2020,taste,51.29605278,1,1,0
31/03/2020,taste,47.95761807,0,1,0
31/03/2020,taste,51.12390046,0,1,0
31/03/2020,taste,48.66824126,1,1,0
31/03/2020,taste,49.75219158,0,0,0
31/03/2020,taste,49.46732712,1,0,0
31/03/2020,taste,50.9541243,1,0,0
31/03/2020,taste,50.49539624,1,0,0
31/03/2020,taste,48.30114937,1,0,0
31/03/2020,taste,48.74375427,1,1,0
31/03/2020,taste,48.61183556,0,0,0
31/03/2020,taste,50.61844326,1,0,0
31/03/2020,taste,49.64212156,0,0,0
31/03/2020,taste,51.3880004,0,0,0
31/03/2020,taste,51.43433603,0,0,0
31/03/2020,taste,49.62450494,1,0,0
31/03/2020,taste,48.53999747,1,0,0
31/03/2020,taste,49.15212494,1,0,0
31/03/2020,taste,48.52317532,1,0,1
31/03/2020,taste,52.49984404,0,0,0
31/03/2020,taste,50.86522315,1,0,0
31/03/2020,taste,50.7163703,1,1,0
31/03/2020,taste,47.34749715,1,0,0
31/03/2020,taste,49.20008402,1,0,0
31/03/2020,taste,50.8956988,1,0,0
31/03/2020,taste,51.26522806,0,1,0
31/03/2020,taste,51.40907597,1,0,0
31/03/2020,taste,49.8422666,1,0,0
31/03/2020,taste,52.16035013,0,0,0
31/03/2020,taste,52.24677202,1,0,0
31/03/2020,taste,50.10758956,1,0,0
31/03/2020,taste,49.47380868,1,0,0
31/03/2020,taste,49.64544681,1,0,0
31/03/2020,taste,48.58494261,0,0,0
31/03/2020,taste,49.61670065,0,0,0
31/03/2020,taste,49.07176189,0,1,0
31/03/2020,taste,49.12717395,1,0,0
31/03/2020,taste,48.08523761,0,0,0
31/03/2020,taste,49.83484839,1,0,0
31/03/2020,taste,50.94244758,0,0,0
31/03/2020,taste,51.43279805,1,0,0
31/03/2020,taste,50.21280649,1,0,0
